pca_power('pendigits_training.txt','pendigits_test.txt',1,10)
Eigenvector  1
1 :  124.8953
Test Object  848
1 :  124.1579
Test Object  849
1 :  70.6184
Test Object  850
1 :  129.3913
Test Object  851
1 :  30.9443
Test Object  852
1 :  132.3431
Test Object  853
1 :  -47.1946
Test Object  854
1 :  124.6262
Test Object  855
1 :  -56.5778
Test Object  856
1 :  -1.0714
Test Object  857
1 :  29.7531
Test Object  858
1 :  39.7286
Test Object  859
1 :  133.9423
Test Object  860
1 :  126.1535
Test Object  861
1 :  31.3615
Test Object  862
1 :  47.1086
Test Object  863
1 :  38.0397
Test Object  864
1 :  48.1273
Test Object  865
1 :  8.4506
Test Object  866
1 :  20.6895
Test Object  867
1 :  96.1564
Test Object  868
1 :  -53.7395
Test Object  869
1 :  66.4065
Test Object  870
1 :  136.4883
Test Object  871
1 :  94.0583
Test Object  872
1 :  119.5846
Test Object  873
1 :  128.4801
Test Object  874
1 :  130.3815
Test Object  875
1 :  57.5207
Test Object  876
1 :  -18.2995
Test Object  877
1 :  44.4863
Test Object  878
1 :  48.0960
Test Object  879
1 :  42.7471
Test Object  880
1 :  101.6987
Test Object  881
1 :  118.1515
Test Object  882
1 :  106.4296
Test Object  883
1 :  -87.2711
Test Object  884
1 :  96.2630
Test Object  885
1 :  -9.5435
Test Object  886
1 :  52.1661
Test Object  887
1 :  144.0230
Test Object  888
1 :  47.6001
Test Object  889
1 :  69.2224
Test Object  890
1 :  16.6400
Test Object  891
1 :  -3.5898
Test Object  892
1 :  117.0415
Test Object  893
1 :  8.2844
Test Object  894
1 :  -57.4507
Test Object  895
1 :  78.3829
Test Object  896
1 :  93.3628
Test Object  897
1 :  128.8196
Test Object  898
1 :  146.2649
Test Object  899
1 :  62.0513
Test Object  900
1 :  -22.7729
Test Object  901
1 :  77.1225
Test Object  902
1 :  63.0111
Test Object  903
1 :  135.1976
Test Object  904
1 :  124.7985
Test Object  905
1 :  -7.6418
Test Object  906
1 :  94.4084
Test Object  907
1 :  69.8189
Test Object  908
1 :  -87.1987
Test Object  909
1 :  42.1634
Test Object  910
1 :  -17.2541
Test Object  911
1 :  137.0973
Test Object  912
1 :  -23.8259
Test Object  913
1 :  76.3805
Test Object  914
1 :  136.8557
Test Object  915
1 :  131.1704
Test Object  916
1 :  124.1561
Test Object  917
1 :  70.9228
Test Object  918
1 :  -7.7083
Test Object  919
1 :  37.0384
Test Object  920
1 :  1.9193
Test Object  921
1 :  -19.4744
Test Object  922
1 :  -57.2731
Test Object  923
1 :  40.1265
Test Object  924
1 :  -17.1258
Test Object  925
1 :  -69.3591
Test Object  926
1 :  -35.5294
Test Object  927
1 :  123.4491
Test Object  928
1 :  128.6282
Test Object  929
1 :  54.0597
Test Object  930
1 :  58.1451
Test Object  931
1 :  -14.5289
Test Object  932
1 :  49.8804
Test Object  933
1 :  55.7954
Test Object  934
1 :  127.5697
Test Object  935
1 :  119.6870
Test Object  936
1 :  118.1215
Test Object  937
1 :  139.3223
Test Object  938
1 :  133.1081
Test Object  939
1 :  46.8723
Test Object  940
1 :  -58.2326
Test Object  941
1 :  122.9369
Test Object  942
1 :  107.5028
Test Object  943
1 :  91.2549
Test Object  944
1 :  58.6613
Test Object  945
1 :  34.0330
Test Object  946
1 :  -33.7216
Test Object  947
1 :  114.4124
Test Object  948
1 :  69.8401
Test Object  949
1 :  97.8754
Test Object  950
1 :  -45.4700
Test Object  951
1 :  52.4033
Test Object  952
1 :  122.8898
Test Object  953
1 :  25.2420
Test Object  954
1 :  -56.8380
Test Object  955
1 :  136.3149
Test Object  956
1 :  91.0721
Test Object  957
1 :  32.6398
Test Object  958
1 :  109.2576
Test Object  959
1 :  -53.3102
Test Object  960
1 :  73.5282
Test Object  961
1 :  39.6319
Test Object  962
1 :  77.7500
Test Object  963
1 :  101.3788
Test Object  964
1 :  39.7414
Test Object  965
1 :  8.4593
Test Object  966
1 :  -41.6003
Test Object  967
1 :  67.8293
Test Object  968
1 :  48.3881
Test Object  969
1 :  141.8624
Test Object  970
1 :  72.3116
Test Object  971
1 :  48.5096
Test Object  972
1 :  36.5814
Test Object  973
1 :  50.7192
Test Object  974
1 :  90.5206
Test Object  975
1 :  70.7443
Test Object  976
1 :  -68.4705
Test Object  977
1 :  -17.3757
Test Object  978
1 :  134.8268
Test Object  979
1 :  86.0556
Test Object  980
1 :  -72.0540
Test Object  981
1 :  115.4111
Test Object  982
1 :  -38.8052
Test Object  983
1 :  35.8256
Test Object  984
1 :  44.5361
Test Object  985
1 :  104.2253
Test Object  986
1 :  -32.7873
Test Object  987
1 :  39.9130
Test Object  988
1 :  131.0324
Test Object  989
1 :  44.3087
Test Object  990
1 :  85.6034
Test Object  991
1 :  124.9602
Test Object  992
1 :  -59.0006
Test Object  993
1 :  16.6807
Test Object  994
1 :  -93.5762
Test Object  995
1 :  -35.5259
Test Object  996
1 :  124.2378
Test Object  997
1 :  73.2758
Test Object  998
1 :  81.0876
Test Object  999
1 :  40.7234
Test Object  1000
1 :  104.1735
Test Object  1001
1 :  67.6995
Test Object  1002
1 :  69.2948
Test Object  1003
1 :  31.5647
Test Object  1004
1 :  133.2703
Test Object  1005
1 :  -30.1861
Test Object  1006
1 :  121.8185
Test Object  1007
1 :  -29.2581
Test Object  1008
1 :  -16.1728
Test Object  1009
1 :  51.9371
Test Object  1010
1 :  42.4026
Test Object  1011
1 :  105.9492
Test Object  1012
1 :  145.7327
Test Object  1013
1 :  134.0655
Test Object  1014
1 :  124.3371
Test Object  1015
1 :  139.4739
Test Object  1016
1 :  -35.6585
Test Object  1017
1 :  118.1124
Test Object  1018
1 :  80.6972
Test Object  1019
1 :  -42.2677
Test Object  1020
1 :  -82.1760
Test Object  1021
1 :  -26.9488
Test Object  1022
1 :  -25.2525
Test Object  1023
1 :  -81.2426
Test Object  1024
1 :  39.4397
Test Object  1025
1 :  136.9122
Test Object  1026
1 :  40.0085
Test Object  1027
1 :  -84.8671
Test Object  1028
1 :  -81.6247
Test Object  1029
1 :  119.1362
Test Object  1030
1 :  138.8269
Test Object  1031
1 :  59.2803
Test Object  1032
1 :  31.7192
Test Object  1033
1 :  106.0435
Test Object  1034
1 :  105.6237
Test Object  1035
1 :  -42.6272
Test Object  1036
1 :  46.7700
Test Object  1037
1 :  73.8477
Test Object  1038
1 :  34.1701
Test Object  1039
1 :  128.5301
Test Object  1040
1 :  119.0736
Test Object  1041
1 :  -27.9432
Test Object  1042
1 :  20.6051
Test Object  1043
1 :  12.6312
Test Object  1044
1 :  65.6493
Test Object  1045
1 :  35.4586
Test Object  1046
1 :  87.1963
Test Object  1047
1 :  113.2010
Test Object  1048
1 :  102.7447
Test Object  1049
1 :  41.8288
Test Object  1050
1 :  97.9317
Test Object  1051
1 :  102.1701
Test Object  1052
1 :  13.5022
Test Object  1053
1 :  48.4256
Test Object  1054
1 :  -48.5494
Test Object  1055
1 :  44.7042
Test Object  1056
1 :  117.4759
Test Object  1057
1 :  60.4140
Test Object  1058
1 :  134.6577
Test Object  1059
1 :  -74.3903
Test Object  1060
1 :  141.1377
Test Object  1061
1 :  33.3222
Test Object  1062
1 :  123.9162
Test Object  1063
1 :  -39.4482
Test Object  1064
1 :  51.9725
Test Object  1065
1 :  -55.7137
Test Object  1066
1 :  -33.9204
Test Object  1067
1 :  124.1295
Test Object  1068
1 :  59.9133
Test Object  1069
1 :  -47.2185
Test Object  1070
1 :  49.8282
Test Object  1071
1 :  113.0519
Test Object  1072
1 :  -34.9060
Test Object  1073
1 :  -35.3326
Test Object  1074
1 :  99.1029
Test Object  1075
1 :  -34.6719
Test Object  1076
1 :  120.8704
Test Object  1077
1 :  79.3863
Test Object  1078
1 :  19.8560
Test Object  1079
1 :  115.6067
Test Object  1080
1 :  107.7039
Test Object  1081
1 :  120.6633
Test Object  1082
1 :  26.2871
Test Object  1083
1 :  -29.9502
Test Object  1084
1 :  122.8190
Test Object  1085
1 :  124.0994
Test Object  1086
1 :  -18.7471
Test Object  1087
1 :  83.8401
Test Object  1088
1 :  103.5932
Test Object  1089
1 :  107.7307
Test Object  1090
1 :  5.9211
Test Object  1091
1 :  45.6216
Test Object  1092
1 :  -35.8254
Test Object  1093
1 :  118.3778
Test Object  1094
1 :  35.1612
Test Object  1095
1 :  35.4885
Test Object  1096
1 :  33.8602
Test Object  1097
1 :  125.8477
Test Object  1098
1 :  95.7723
Test Object  1099
1 :  10.6618
Test Object  1100
1 :  57.0753
Test Object  1101
1 :  82.7657
Test Object  1102
1 :  44.5870
Test Object  1103
1 :  41.6924
Test Object  1104
1 :  -43.8518
Test Object  1105
1 :  133.9963
Test Object  1106
1 :  122.8788
Test Object  1107
1 :  -57.2971
Test Object  1108
1 :  31.5952
Test Object  1109
1 :  106.2076
Test Object  1110
1 :  121.9214
Test Object  1111
1 :  -60.3125
Test Object  1112
1 :  -61.0455
Test Object  1113
1 :  125.3878
Test Object  1114
1 :  129.9301
Test Object  1115
1 :  34.5416
Test Object  1116
1 :  -20.3554
Test Object  1117
1 :  97.0283
Test Object  1118
1 :  81.9467
Test Object  1119
1 :  71.3584
Test Object  1120
1 :  118.4543
Test Object  1121
1 :  72.7983
Test Object  1122
1 :  34.6095
Test Object  1123
1 :  64.4228
Test Object  1124
1 :  -34.8112
Test Object  1125
1 :  50.0306
Test Object  1126
1 :  124.7536
Test Object  1127
1 :  62.7165
Test Object  1128
1 :  120.4052
Test Object  1129
1 :  -20.1270
Test Object  1130
1 :  152.1107
Test Object  1131
1 :  125.7437
Test Object  1132
1 :  115.6050
Test Object  1133
1 :  56.8605
Test Object  1134
1 :  -33.3622
Test Object  1135
1 :  126.2878
Test Object  1136
1 :  134.5620
Test Object  1137
1 :  106.6460
Test Object  1138
1 :  -89.4322
Test Object  1139
1 :  -14.7969
Test Object  1140
1 :  40.8711
Test Object  1141
1 :  62.8069
Test Object  1142
1 :  94.5972
Test Object  1143
1 :  143.0939
Test Object  1144
1 :  45.7579
Test Object  1145
1 :  -80.4383
Test Object  1146
1 :  22.1918
Test Object  1147
1 :  67.8470
Test Object  1148
1 :  17.3028
Test Object  1149
1 :  -19.3108
Test Object  1150
1 :  141.7078
Test Object  1151
1 :  65.6693
Test Object  1152
1 :  -21.9674
Test Object  1153
1 :  -32.3628
Test Object  1154
1 :  -49.8904
Test Object  1155
1 :  48.3824
Test Object  1156
1 :  41.7031
Test Object  1157
1 :  133.1371
Test Object  1158
1 :  46.5266
Test Object  1159
1 :  -54.4361
Test Object  1160
1 :  43.6501
Test Object  1161
1 :  54.0844
Test Object  1162
1 :  139.3267
Test Object  1163
1 :  137.3447
Test Object  1164
1 :  109.0906
Test Object  1165
1 :  138.1415
Test Object  1166
1 :  40.7475
Test Object  1167
1 :  -37.4428
Test Object  1168
1 :  -15.4468
Test Object  1169
1 :  42.0441
Test Object  1170
1 :  -83.3853
Test Object  1171
1 :  -72.3938
Test Object  1172
1 :  37.1779
Test Object  1173
1 :  61.4645
Test Object  1174
1 :  120.8858
Test Object  1175
1 :  -54.6474
Test Object  1176
1 :  91.3295
Test Object  1177
1 :  31.3132
Test Object  1178
1 :  52.1926
Test Object  1179
1 :  56.7186
Test Object  1180
1 :  94.7821
Test Object  1181
1 :  45.7240
Test Object  1182
1 :  43.1824
Test Object  1183
1 :  32.6758
Test Object  1184
1 :  38.1454
Test Object  1185
1 :  27.9124
Test Object  1186
1 :  101.8990
Test Object  1187
1 :  -32.1054
Test Object  1188
1 :  60.9924
Test Object  1189
1 :  108.2981
Test Object  1190
1 :  40.5452
Test Object  1191
1 :  42.4269
Test Object  1192
1 :  108.3438
Test Object  1193
1 :  126.0904
Test Object  1194
1 :  1.0547
Test Object  1195
1 :  46.7010
Test Object  1196
1 :  -19.2203
Test Object  1197
1 :  138.0433
Test Object  1198
1 :  56.9428
Test Object  1199
1 :  -31.1401
Test Object  1200
1 :  40.1262
Test Object  1201
1 :  96.7963
Test Object  1202
1 :  35.8527
Test Object  1203
1 :  81.8234
Test Object  1204
1 :  125.5922
Test Object  1205
1 :  50.6258
Test Object  1206
1 :  -44.9665
Test Object  1207
1 :  141.2111
Test Object  1208
1 :  73.1748
Test Object  1209
1 :  45.0646
Test Object  1210
1 :  17.1085
Test Object  1211
1 :  -70.0442
Test Object  1212
1 :  59.1577
Test Object  1213
1 :  28.4770
Test Object  1214
1 :  51.4494
Test Object  1215
1 :  61.7140
Test Object  1216
1 :  102.7316
Test Object  1217
1 :  70.9486
Test Object  1218
1 :  43.5058
Test Object  1219
1 :  49.5809
Test Object  1220
1 :  -54.1834
Test Object  1221
1 :  50.6291
Test Object  1222
1 :  56.3568
Test Object  1223
1 :  -42.7319
Test Object  1224
1 :  68.1439
Test Object  1225
1 :  30.9873
Test Object  1226
1 :  44.6272
Test Object  1227
1 :  131.8088
Test Object  1228
1 :  36.1487
Test Object  1229
1 :  130.5523
Test Object  1230
1 :  129.0050
Test Object  1231
1 :  124.1409
Test Object  1232
1 :  60.8833
Test Object  1233
1 :  55.8428
Test Object  1234
1 :  -30.5002
Test Object  1235
1 :  114.9047
Test Object  1236
1 :  48.7477
Test Object  1237
1 :  -92.0901
Test Object  1238
1 :  13.5511
Test Object  1239
1 :  140.8059
Test Object  1240
1 :  59.5018
Test Object  1241
1 :  71.7966
Test Object  1242
1 :  66.6163
Test Object  1243
1 :  43.3225
Test Object  1244
1 :  -51.0340
Test Object  1245
1 :  -30.3959
Test Object  1246
1 :  60.6044
Test Object  1247
1 :  -40.7228
Test Object  1248
1 :  -30.5893
Test Object  1249
1 :  -50.3926
Test Object  1250
1 :  110.5360
Test Object  1251
1 :  16.4737
Test Object  1252
1 :  66.4176
Test Object  1253
1 :  -40.8248
Test Object  1254
1 :  16.8032
Test Object  1255
1 :  89.9085
Test Object  1256
1 :  62.6034
Test Object  1257
1 :  39.5532
Test Object  1258
1 :  141.0133
Test Object  1259
1 :  72.0428
Test Object  1260
1 :  146.4915
Test Object  1261
1 :  13.0253
Test Object  1262
1 :  44.9750
Test Object  1263
1 :  64.7371
Test Object  1264
1 :  20.3293
Test Object  1265
1 :  142.0119
Test Object  1266
1 :  65.5405
Test Object  1267
1 :  127.5081
Test Object  1268
1 :  119.1680
Test Object  1269
1 :  105.1953
Test Object  1270
1 :  43.2245
Test Object  1271
1 :  -48.4023
Test Object  1272
1 :  110.9616
Test Object  1273
1 :  -19.4387
Test Object  1274
1 :  118.8457
Test Object  1275
1 :  123.7019
Test Object  1276
1 :  61.5642
Test Object  1277
1 :  98.6072
Test Object  1278
1 :  115.8997
Test Object  1279
1 :  129.5418
Test Object  1280
1 :  117.9805
Test Object  1281
1 :  75.0265
Test Object  1282
1 :  114.2227
Test Object  1283
1 :  -23.3642
Test Object  1284
1 :  10.7186
Test Object  1285
1 :  57.2000
Test Object  1286
1 :  -32.3461
Test Object  1287
1 :  36.7760
Test Object  1288
1 :  -36.4848
Test Object  1289
1 :  15.9162
Test Object  1290
1 :  45.1705
Test Object  1291
1 :  124.1573
Test Object  1292
1 :  104.4253
Test Object  1293
1 :  6.7767
Test Object  1294
1 :  39.0894
Test Object  1295
1 :  41.2089
Test Object  1296
1 :  -22.0290
Test Object  1297
1 :  2.9800
Test Object  1298
1 :  -28.2135
Test Object  1299
1 :  39.5346
Test Object  1300
1 :  118.6796
Test Object  1301
1 :  42.6910
Test Object  1302
1 :  3.0492
Test Object  1303
1 :  50.4909
Test Object  1304
1 :  109.6582
Test Object  1305
1 :  33.6614
Test Object  1306
1 :  79.3595
Test Object  1307
1 :  134.6773
Test Object  1308
1 :  -39.0225
Test Object  1309
1 :  131.5904
Test Object  1310
1 :  -46.3134
Test Object  1311
1 :  117.0105
Test Object  1312
1 :  73.9299
Test Object  1313
1 :  137.6946
Test Object  1314
1 :  -48.8342
Test Object  1315
1 :  116.0888
Test Object  1316
1 :  -14.6222
Test Object  1317
1 :  61.1535
Test Object  1318
1 :  6.8347
Test Object  1319
1 :  -76.9771
Test Object  1320
1 :  -28.7933
Test Object  1321
1 :  -39.1356
Test Object  1322
1 :  151.9096
Test Object  1323
1 :  71.7239
Test Object  1324
1 :  -33.3363
Test Object  1325
1 :  -51.0068
Test Object  1326
1 :  117.5358
Test Object  1327
1 :  70.8651
Test Object  1328
1 :  116.7881
Test Object  1329
1 :  67.4034
Test Object  1330
1 :  118.1776
Test Object  1331
1 :  27.7635
Test Object  1332
1 :  -80.3617
Test Object  1333
1 :  3.7840
Test Object  1334
1 :  135.3550
Test Object  1335
1 :  47.6635
Test Object  1336
1 :  75.5256
Test Object  1337
1 :  71.3983
Test Object  1338
1 :  116.8422
Test Object  1339
1 :  117.3847
Test Object  1340
1 :  -93.3541
Test Object  1341
1 :  49.5616
Test Object  1342
1 :  64.3237
Test Object  1343
1 :  148.7683
Test Object  1344
1 :  38.7416
Test Object  1345
1 :  50.5950
Test Object  1346
1 :  112.7986
Test Object  1347
1 :  40.0669
Test Object  1348
1 :  -72.3736
Test Object  1349
1 :  44.2030
Test Object  1350
1 :  28.1670
Test Object  1351
1 :  116.6068
Test Object  1352
1 :  106.0571
Test Object  1353
1 :  136.7953
Test Object  1354
1 :  108.8606
Test Object  1355
1 :  81.9625
Test Object  1356
1 :  90.8796
Test Object  1357
1 :  0.5883
Test Object  1358
1 :  66.0576
Test Object  1359
1 :  103.3969
Test Object  1360
1 :  -53.3965
Test Object  1361
1 :  56.9109
Test Object  1362
1 :  -14.6122
Test Object  1363
1 :  -85.1987
Test Object  1364
1 :  64.8419
Test Object  1365
1 :  117.7239
Test Object  1366
1 :  57.5039
Test Object  1367
1 :  67.5956
Test Object  1368
1 :  137.4712
Test Object  1369
1 :  -20.3067
Test Object  1370
1 :  66.3558
Test Object  1371
1 :  62.1726
Test Object  1372
1 :  136.7156
Test Object  1373
1 :  105.2860
Test Object  1374
1 :  -32.0510
Test Object  1375
1 :  104.5109
Test Object  1376
1 :  -0.0266
Test Object  1377
1 :  126.1098
Test Object  1378
1 :  139.2252
Test Object  1379
1 :  62.0334
Test Object  1380
1 :  45.7959
Test Object  1381
1 :  3.1390
Test Object  1382
1 :  13.9545
Test Object  1383
1 :  -25.2008
Test Object  1384
1 :  93.0794
Test Object  1385
1 :  16.4900
Test Object  1386
1 :  -38.5311
Test Object  1387
1 :  34.8557
Test Object  1388
1 :  118.1828
Test Object  1389
1 :  14.9615
Test Object  1390
1 :  97.8948
Test Object  1391
1 :  85.9911
Test Object  1392
1 :  -32.2597
Test Object  1393
1 :  -90.2488
Test Object  1394
1 :  -60.6196
Test Object  1395
1 :  32.9508
Test Object  1396
1 :  52.1341
Test Object  1397
1 :  18.9437
Test Object  1398
1 :  71.0749
Test Object  1399
1 :  3.3438
Test Object  1400
1 :  120.2324
Test Object  1401
1 :  62.8714
Test Object  1402
1 :  128.7337
Test Object  1403
1 :  -53.8948
Test Object  1404
1 :  96.4945
Test Object  1405
1 :  61.6421
Test Object  1406
1 :  -16.4802
Test Object  1407
1 :  117.0364
Test Object  1408
1 :  124.5413
Test Object  1409
1 :  -67.6884
Test Object  1410
1 :  113.6931
Test Object  1411
1 :  99.5247
Test Object  1412
1 :  -21.4812
Test Object  1413
1 :  72.0089
Test Object  1414
1 :  118.3034
Test Object  1415
1 :  99.1423
Test Object  1416
1 :  -75.6782
Test Object  1417
1 :  49.0258
Test Object  1418
1 :  100.6043
Test Object  1419
1 :  125.9708
Test Object  1420
1 :  48.0133
Test Object  1421
1 :  9.7235
Test Object  1422
1 :  131.4913
Test Object  1423
1 :  47.7205
Test Object  1424
1 :  -17.9309
Test Object  1425
1 :  116.2939
Test Object  1426
1 :  41.4678
Test Object  1427
1 :  39.8246
Test Object  1428
1 :  74.9023
Test Object  1429
1 :  86.8025
Test Object  1430
1 :  143.2517
Test Object  1431
1 :  46.3559
Test Object  1432
1 :  -33.0862
Test Object  1433
1 :  -66.7925
Test Object  1434
1 :  125.7313
Test Object  1435
1 :  -36.1071
Test Object  1436
1 :  62.6231
Test Object  1437
1 :  -22.9962
Test Object  1438
1 :  27.7219
Test Object  1439
1 :  -52.4614
Test Object  1440
1 :  45.5024
Test Object  1441
1 :  33.7515
Test Object  1442
1 :  113.6723
Test Object  1443
1 :  39.2956
Test Object  1444
1 :  129.1951
Test Object  1445
1 :  -10.5812
Test Object  1446
1 :  -47.0070
Test Object  1447
1 :  -31.7098
Test Object  1448
1 :  121.5203
Test Object  1449
1 :  120.1884
Test Object  1450
1 :  131.9540
Test Object  1451
1 :  44.0411
Test Object  1452
1 :  47.1243
Test Object  1453
1 :  20.5502
Test Object  1454
1 :  -23.6158
Test Object  1455
1 :  143.2695
Test Object  1456
1 :  134.1834
Test Object  1457
1 :  -26.4707
Test Object  1458
1 :  -39.5920
Test Object  1459
1 :  50.0131
Test Object  1460
1 :  59.2338
Test Object  1461
1 :  128.5381
Test Object  1462
1 :  129.8303
Test Object  1463
1 :  137.7853
Test Object  1464
1 :  113.0608
Test Object  1465
1 :  24.6883
Test Object  1466
1 :  112.0968
Test Object  1467
1 :  -46.6956
Test Object  1468
1 :  152.4671
Test Object  1469
1 :  57.9546
Test Object  1470
1 :  56.4723
Test Object  1471
1 :  56.0025
Test Object  1472
1 :  90.8186
Test Object  1473
1 :  41.9417
Test Object  1474
1 :  74.3892
Test Object  1475
1 :  41.4219
Test Object  1476
1 :  95.9613
Test Object  1477
1 :  143.0265
Test Object  1478
1 :  -29.1001
Test Object  1479
1 :  49.0368
Test Object  1480
1 :  19.5202
Test Object  1481
1 :  -38.4865
Test Object  1482
1 :  34.7388
Test Object  1483
1 :  136.5194
Test Object  1484
1 :  126.3833
Test Object  1485
1 :  71.9234
Test Object  1486
1 :  56.5339
Test Object  1487
1 :  91.1260
Test Object  1488
1 :  -46.1275
Test Object  1489
1 :  106.3256
Test Object  1490
1 :  41.2719
Test Object  1491
1 :  34.0037
Test Object  1492
1 :  5.2642
Test Object  1493
1 :  -52.7333
Test Object  1494
1 :  44.6429
Test Object  1495
1 :  -31.1115
Test Object  1496
1 :  -43.8754
Test Object  1497
1 :  -21.3376
Test Object  1498
1 :  137.6528
Test Object  1499
1 :  68.4525
Test Object  1500
1 :  134.3782
Test Object  1501
1 :  26.4196
Test Object  1502
1 :  -21.7509
Test Object  1503
1 :  60.7927
Test Object  1504
1 :  89.0206
Test Object  1505
1 :  54.9575
Test Object  1506
1 :  128.9137
Test Object  1507
1 :  136.8254
Test Object  1508
1 :  66.5249
Test Object  1509
1 :  39.9811
Test Object  1510
1 :  78.8084
Test Object  1511
1 :  -29.2782
Test Object  1512
1 :  39.9278
Test Object  1513
1 :  88.9602
Test Object  1514
1 :  56.2175
Test Object  1515
1 :  140.2490
Test Object  1516
1 :  126.2480
Test Object  1517
1 :  122.6337
Test Object  1518
1 :  1.5995
Test Object  1519
1 :  31.0340
Test Object  1520
1 :  67.1663
Test Object  1521
1 :  -13.0261
Test Object  1522
1 :  39.9840
Test Object  1523
1 :  135.1115
Test Object  1524
1 :  66.0106
Test Object  1525
1 :  -40.5258
Test Object  1526
1 :  125.4572
Test Object  1527
1 :  -70.4325
Test Object  1528
1 :  -35.8604
Test Object  1529
1 :  49.3365
Test Object  1530
1 :  58.1023
Test Object  1531
1 :  32.5632
Test Object  1532
1 :  122.8068
Test Object  1533
1 :  26.4382
Test Object  1534
1 :  132.7640
Test Object  1535
1 :  63.0735
Test Object  1536
1 :  80.3860
Test Object  1537
1 :  127.0287
Test Object  1538
1 :  32.4135
Test Object  1539
1 :  25.9471
Test Object  1540
1 :  118.3390
Test Object  1541
1 :  145.6114
Test Object  1542
1 :  148.8339
Test Object  1543
1 :  139.8067
Test Object  1544
1 :  114.5320
Test Object  1545
1 :  -80.4329
Test Object  1546
1 :  7.6639
Test Object  1547
1 :  29.4791
Test Object  1548
1 :  16.7557
Test Object  1549
1 :  46.0086
Test Object  1550
1 :  138.4039
Test Object  1551
1 :  64.4340
Test Object  1552
1 :  -33.5342
Test Object  1553
1 :  41.3119
Test Object  1554
1 :  124.9886
Test Object  1555
1 :  -74.1330
Test Object  1556
1 :  73.0443
Test Object  1557
1 :  119.6680
Test Object  1558
1 :  117.2644
Test Object  1559
1 :  128.4476
Test Object  1560
1 :  121.9798
Test Object  1561
1 :  -50.8778
Test Object  1562
1 :  123.0694
Test Object  1563
1 :  72.0277
Test Object  1564
1 :  29.0163
Test Object  1565
1 :  110.4065
Test Object  1566
1 :  45.0104
Test Object  1567
1 :  110.1061
Test Object  1568
1 :  -37.2716
Test Object  1569
1 :  124.9856
Test Object  1570
1 :  60.4133
Test Object  1571
1 :  35.4634
Test Object  1572
1 :  58.1123
Test Object  1573
1 :  -76.0178
Test Object  1574
1 :  122.4566
Test Object  1575
1 :  65.8143
Test Object  1576
1 :  69.3278
Test Object  1577
1 :  41.8081
Test Object  1578
1 :  120.0302
Test Object  1579
1 :  -84.6196
Test Object  1580
1 :  110.3693
Test Object  1581
1 :  132.5903
Test Object  1582
1 :  14.9511
Test Object  1583
1 :  23.0363
Test Object  1584
1 :  141.4146
Test Object  1585
1 :  65.5180
Test Object  1586
1 :  22.1477
Test Object  1587
1 :  -66.0691
Test Object  1588
1 :  112.4811
Test Object  1589
1 :  138.4842
Test Object  1590
1 :  -45.9217
Test Object  1591
1 :  42.3559
Test Object  1592
1 :  140.5419
Test Object  1593
1 :  139.4993
Test Object  1594
1 :  117.2701
Test Object  1595
1 :  92.6914
Test Object  1596
1 :  -42.5291
Test Object  1597
1 :  43.0924
Test Object  1598
1 :  129.2736
Test Object  1599
1 :  -37.5343
Test Object  1600
1 :  51.8105
Test Object  1601
1 :  133.4344
Test Object  1602
1 :  -49.1960
Test Object  1603
1 :  84.8807
Test Object  1604
1 :  -37.9348
Test Object  1605
1 :  116.7627
Test Object  1606
1 :  55.9222
Test Object  1607
1 :  46.5633
Test Object  1608
1 :  121.4816
Test Object  1609
1 :  133.7550
Test Object  1610
1 :  131.0528
Test Object  1611
1 :  35.2805
Test Object  1612
1 :  45.4140
Test Object  1613
1 :  71.4158
Test Object  1614
1 :  70.1609
Test Object  1615
1 :  41.0316
Test Object  1616
1 :  118.7148
Test Object  1617
1 :  123.1355
Test Object  1618
1 :  -83.2133
Test Object  1619
1 :  45.6443
Test Object  1620
1 :  130.2406
Test Object  1621
1 :  104.4319
Test Object  1622
1 :  38.7142
Test Object  1623
1 :  16.9259
Test Object  1624
1 :  57.8010
Test Object  1625
1 :  18.6589
Test Object  1626
1 :  -84.4577
Test Object  1627
1 :  -33.5008
Test Object  1628
1 :  60.5925
Test Object  1629
1 :  32.4127
Test Object  1630
1 :  -24.5647
Test Object  1631
1 :  -38.2318
Test Object  1632
1 :  63.3998
Test Object  1633
1 :  116.4154
Test Object  1634
1 :  132.9632
Test Object  1635
1 :  38.8346
Test Object  1636
1 :  71.7235
Test Object  1637
1 :  118.8713
Test Object  1638
1 :  152.2334
Test Object  1639
1 :  26.2535
Test Object  1640
1 :  44.5946
Test Object  1641
1 :  28.5317
Test Object  1642
1 :  -5.1961
Test Object  1643
1 :  113.6008
Test Object  1644
1 :  127.4094
Test Object  1645
1 :  57.9885
Test Object  1646
1 :  105.4550
Test Object  1647
1 :  50.7902
Test Object  1648
1 :  78.6064
Test Object  1649
1 :  45.7411
Test Object  1650
1 :  88.6069
Test Object  1651
1 :  17.3526
Test Object  1652
1 :  66.1867
Test Object  1653
1 :  3.5827
Test Object  1654
1 :  -80.6819
Test Object  1655
1 :  106.1435
Test Object  1656
1 :  50.4789
Test Object  1657
1 :  -67.8063
Test Object  1658
1 :  129.0740
Test Object  1659
1 :  126.9233
Test Object  1660
1 :  -48.2350
Test Object  1661
1 :  131.6098
Test Object  1662
1 :  141.7453
Test Object  1663
1 :  55.6712
Test Object  1664
1 :  59.7946
Test Object  1665
1 :  28.2819
Test Object  1666
1 :  132.1998
